Cue	NORMAL Breathing
15080275	3.718
15080278	3.718
15080281	3.719
15080284	3.720
15080286	3.720
15080289	3.721
15080292	3.722
15080295	3.723
15080298	3.723
15080301	3.724
15080304	3.724
15080307	3.725
15080310	3.725
15080312	3.725
15080315	3.726
15080318	3.726
15080321	3.726
15080324	3.726
15080327	3.727
15080330	3.727
15080332	3.727
15080335	3.727
15080338	3.728
15080341	3.728
15080344	3.728
15080347	3.727
15080350	3.727
15080353	3.727
15080356	3.727
15080358	3.726
15080361	3.725
15080364	3.725
15080367	3.724
15080370	3.723
15080373	3.722
15080376	3.721
15080379	3.719
15080382	3.718
15080384	3.717
15080387	3.715
15080390	3.714
15080393	3.712
15080396	3.710
15080399	3.709
15080402	3.707
15080405	3.705
15080407	3.702
15080410	3.699
15080413	3.696
15080416	3.692
15080419	3.689
15080422	3.685
15080425	3.682
15080428	3.678
15080430	3.674
15080433	3.671
15080436	3.669
15080439	3.667
15080442	3.666
15080445	3.666
15080448	3.666
15080451	3.666
15080454	3.666
15080456	3.667
15080459	3.668
15080462	3.669
15080465	3.670
15080468	3.672
15080471	3.672
15080474	3.673
15080477	3.674
15080479	3.675
15080482	3.676
15080485	3.677
15080488	3.677
15080491	3.678
15080494	3.679
15080497	3.679
15080500	3.680
15080502	3.681
15080505	3.682
15080508	3.682
15080511	3.683
15080514	3.684
15080517	3.685
15080520	3.687
15080523	3.688
15080526	3.690
15080528	3.691
15080531	3.693
15080534	3.694
15080537	3.696
15080540	3.697
15080543	3.698
15080546	3.699
15080549	3.700
15080551	3.700
15080554	3.701
15080557	3.702
15080560	3.702
15080563	3.702
15080566	3.703
15080569	3.703
15080572	3.703
15080574	3.704
15080577	3.704
15080580	3.705
15080583	3.705
15080586	3.705
15080589	3.705
15080592	3.705
15080595	3.706
15080598	3.706
15080600	3.706
15080603	3.706
15080606	3.706
15080609	3.706
15080612	3.706
15080615	3.707
15080618	3.707
15080621	3.707
15080623	3.708
15080626	3.708
15080629	3.709
15080632	3.710
15080635	3.711
15080638	3.711
15080641	3.712
15080644	3.713
15080646	3.714
15080649	3.715
15080652	3.715
15080655	3.716
15080658	3.717
15080661	3.717
15080664	3.718
15080667	3.719
15080670	3.719
15080672	3.720
15080675	3.720
15080678	3.721
15080681	3.721
15080684	3.722
15080687	3.722
15080690	3.723
15080693	3.723
15080695	3.724
15080698	3.725
15080701	3.725
15080704	3.725
15080707	3.725
15080710	3.726
15080713	3.726
15080716	3.727
15080718	3.727
15080721	3.727
15080724	3.727
15080727	3.727
15080730	3.728
15080733	3.728
15080736	3.729
15080739	3.729
15080742	3.729
15080744	3.729
15080747	3.729
15080750	3.729
15080753	3.730
15080756	3.730
15080759	3.730
15080762	3.730
15080765	3.730
15080767	3.731
15080770	3.731
15080773	3.731
15080776	3.731
15080779	3.731
15080782	3.731
15080785	3.731
15080788	3.730
15080790	3.730
15080793	3.730
15080796	3.729
15080799	3.729
15080802	3.728
15080805	3.727
15080808	3.726
15080811	3.726
15080814	3.725
15080816	3.723
15080819	3.722
15080822	3.721
15080825	3.719
15080828	3.718
15080831	3.716
15080834	3.713
15080837	3.711
15080839	3.707
15080842	3.704
15080845	3.701
15080848	3.698
15080851	3.695
15080854	3.692
15080857	3.689
15080860	3.685
15080862	3.682
15080865	3.678
15080868	3.675
15080871	3.673
15080874	3.670
15080877	3.667
15080880	3.665
15080883	3.663
15080886	3.662
15080888	3.661
15080891	3.662
15080894	3.663
15080897	3.664
15080900	3.665
15080903	3.667
15080906	3.669
15080909	3.671
15080911	3.674
15080914	3.675
15080917	3.677
15080920	3.679
15080923	3.680
15080926	3.682
15080929	3.684
15080932	3.685
15080934	3.686
15080937	3.688
15080940	3.689
15080943	3.691
15080946	3.692
15080949	3.693
15080952	3.694
15080955	3.695
15080958	3.696
15080960	3.697
15080963	3.698
15080966	3.698
15080969	3.698
15080972	3.699
15080975	3.700
15080978	3.700
15080981	3.700
15080983	3.701
15080986	3.701
15080989	3.701
15080992	3.701
15080995	3.701
15080998	3.701
15081001	3.701
15081004	3.701
15081006	3.701
15081009	3.702
15081012	3.702
15081015	3.703
15081018	3.703
15081021	3.704
15081024	3.705
15081027	3.705
15081030	3.706
15081032	3.707
15081035	3.708
15081038	3.709
15081041	3.710
15081044	3.711
15081047	3.712
15081050	3.713
15081053	3.713
